Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
14910,5518966473,5,1.0,0.4375,16,9,7,2018-01-21,"smells great, my lips are conditioned and super soft.",kissable lips!,deep,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
19366,5826279851,3,0.0,,0,0,0,2017-12-22,"I have normal skin for the most part (a little dry, some fine lines), but I still try to use ultra gentle cleansers, just to be safe and avoid irritating it. This was definitely gentle on my skin (no redness, stinging, or breakouts, and it was cooling upon application), and my face felt clean after using it. However, a) it is overpriced. There are other gentle cleansers out there that do the exact same thing and feel the same for like a third of this price; and b) it had a slightly strange smell—I think it’s trying to be cucumber, but it smells more like a cucumber that’s starting to rot. I might finish off the sample bottle I got, but would not purchase.",,light,brown,normal,brown,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
16986,21512825825,5,1.0,0.0,1,1,0,2020-05-27,I tried the smallest size of this and absolutely loved it and purchased the biggest size right away. Smells really fresh and does a great job at cleansing the skin without stripping away the natural oils. I love using this when I want to use a gentler cleanser and my skin doesn’t have any terrible breakouts. It doesn’t make breakouts worse but it doesn’t necessarily improve them. But it is great at removing makeup and is a perfect gentle cleanser.,Gently cleanses but doesn't improve acne,mediumTan,brown,combination,brown,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
3441,1687397470,3,1.0,1.0,4,0,4,2021-02-23,"I love the smell of this mask, it also is a pretty good price as it lasts forever. However I find it hasn’t done much for my lips and I find Vaseline works better",smells wonderful,light,blue,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
67633,1500890235,3,1.0,1.0,1,0,1,2021-07-28,This is a nice moisturizer.  I have a hard time finding moisturizers that do not feel sticky or tacky once applied.  This one does not. Hoping I can see results from using over time but am pleased with this product right now.,,fair,,dry,blonde,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
3510,2755838710,2,0.0,1.0,5,0,5,2021-02-16,I am obsessed with the lip sleeping mask but the gummy bear ones stains clothes and gets everywhere. Terrible color,,mediumTan,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
41191,1337122912,3,0.0,1.0,4,0,4,2020-06-30,"Meh. Wanted to love this, but am honestly just lukewarm.  I’ve been using for about two months. I’ve been stretching the pads by cutting in half. As for exfoliation or dead skin removal, I don’t think it does much of that at all. I don’t dislike the way it makes my face feel “cleaner“ and a little brighter, but  I don’t know if it’s actually the peels or me being proud of myself for putting in the effort to peel. It’s a bit refreshing, I suppose, but I don’t really think it does much. Fine lines, pores, skin firmness and texture are all the same. It’s a decent product in that there are no noticeable negative effects. It just didn’t perform like I had hoped. I’ve been using wipes on my face and decolletage area, as well as on a patch of sunburned skin on my knee. (Random, I know--but I was wearing ripped jeans and now have a silly-looking knee tan like a stripe.) I bought these pads to split between my face and my sad little knee patch. And having swiped the exfoliant on my knee skin daily for almost two months, I can say that there has been literally NO SHIFT whatsoever in the removal of any dead, burned skin cells. It’s not a huge deal and the patch is small, but I just thought I’d test out the strength of this peel in more than one area. Also experimented using this on a couple of acne scars on my back. The wipes did nothing. And unfortunately, the feel-good effect they have on my feelings about my face is the most I’m getting out of them. But hey, counts for something. Three stars!",Experimented using this on different areas. Meh.,mediumTan,brown,normal,brown,P269122,Alpha Beta Extra Strength Daily Peel Pads,Dr. Dennis Gross Skincare,92.0
77725,24126188270,5,1.0,0.75,12,3,9,2019-10-31,Oh my goodness!! This is a fantastic cleanser!! I have extremely sensitive skin and my face was breaking out near my jaw line.  I decided to try out this cleanser and few hours after I could see my breakout start to fade away. I’m definitely going to repurchase.,Best skincare product everrrr!!!!,tan,brown,normal,brown,P411387,Superfood Antioxidant Cleanser,Youth To The People,39.0
68484,1328351053,3,0.0,0.9538459777832032,65,3,62,2020-10-17,"This is a good product, but you are paying a lot of packaging, you cannot recycle without taking everything apart, and a LOT of product gets wasted, which is just irresponsible. Plus all of a sudden the dispenser just stops working, even though there is still a lot of product left inside. I will buy again IF the packaging gets changed.",The packaging ruins this!,light,green,oily,blonde,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
75027,2806225856,3,0.0,1.0,2,0,2,2021-07-16,"I wanted to love this because of the claims and glass bottle however, like many other users, I found this to be all talk and no walk. For the price I expected it to be better. Going back to my Krave Matcha Hemp Cleanser.",Meh,fair,brown,combination,brown,P411387,Superfood Antioxidant Cleanser,Youth To The People,39.0
58912,914296627,2,0.0,0.3333329856395721,3,2,1,2019-04-21,"I love how this cleanses my face gently and doesn’t strip moisture, but I wouldn’t buy it if it still has plastic microbeads.",,lightMedium,brown,combination,brown,P417238,Green Clean Makeup Removing Cleansing Balm,Farmacy,36.0
53961,1614412438,3,,,0,0,0,2016-09-22,"Great moisturizer, very hydrating and none greasy. Works great with oily skin",,,,,,P394639,The True Cream Aqua Bomb,belif,38.0
3437,8737961625,3,1.0,0.5,2,1,1,2021-02-23,"Smells great, and i wake up with soft hydrated lips. I also like to just use it throughout the day and it gives great hydration as well as a nice shine. Only 4 stars though because to me, it’s nothing all that special. I think the price is ok because it is a good quality product and it’ll last a long time as the pot is quite large and a little goes a long way.",,light,green,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
88407,21147160418,5,1.0,0.8823530077934265,17,2,15,2020-05-28,"I have dry sensitive skin, and I don’t break out at all using this. I can tell that my skin’s blemishes are evening out and overall my face looks brighter. 100% recommend.",Love this.,light,brown,dry,black,P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,6.0
63282,6468055906,5,1.0,1.0,1,0,1,2020-06-13,"I really love this stuff. It melts down nicely and it smells like lime sorbet!! For me, it works really well but I don’t wear makeup often and when I do, it’s very light. It works well to remove water resistant, matte mineral sunscreen though and it rinses clean, not leaving an oily residue. I still use this as a first cleanser and follow up with something else but it’s nice to not have greasy fingers after using it like o often do with cleansing oils.",Smells like lime sorbet!,fair,Grey,combination,brown,P450271,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy,60.0
84387,7872408838,5,1.0,,0,0,0,2018-12-02,Love this cleanser. It lasts a long time and has really worked out for me (I have acne prone & sensitive skin). Probably will stick to this cleanser.,,medium,brown,combination,black,P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,14.0
36387,1541305699,1,,0.6666669845581055,3,1,2,2015-05-21,"I must be the extreme minority here. I had high expectations based on the name “Intense Hydration“ and the overwhelming number of good reviews. But the product doesn’t live up to the name. It’s not moisturizing. Even now when it’s May, it’s still not moisturizing, let alone winter time. I’m glad I only purchased the little sample size. There are far better moisturizers out there.",Not moisturizing enough,,,combination,,P248407,Ultra Repair Cream Intense Hydration,First Aid Beauty,38.0
